date,league_name,year,season,team_1,team_2,betting_site,saved_time,set_number,both:Teams to Slay a Dragon:yes,both:Teams to Slay a Dragon:no,over_under:Total Towers Destroyed:11.50:over,over_under:Total Towers Destroyed:11.50:under,over_under:Total Dragons Slain:4.50:over,over_under:Total Dragons Slain:4.50:under,special:Winner:home,special:Winner:away,special:Team to Destroy the First Tower:home,special:Team to Destroy the First Tower:away,both:Teams to Destroy an Inhibitor:yes,both:Teams to Destroy an Inhibitor:no,both:Teams to Slay a Baron:yes,both:Teams to Slay a Baron:no,over_under:Total Barons Slain:1.50:over,over_under:Total Barons Slain:1.50:under,over_under:Total Towers Destroyed:12.50:over,over_under:Total Towers Destroyed:12.50:under
2020-08-29,LPL,2020.0,summer,IG,FPX,unikrn,2020-08-29 23:00:00,,,,,,,,,,,,,,,,,,,
2020-08-29,LPL,2020.0,summer,IG,FPX,unikrn,2020-08-29 23:00:00,,,,,,,,,,,,,,,,,,,
2020-08-29,LPL,2020.0,summer,IG,FPX,unikrn,2020-08-29 23:00:00,3.0,1.25,3.75,1.66,2.1,1.5,2.5,1.66,2.1,,,,,,,,,,
2020-08-29,PCS,2020.0,summer,Machi Esports,J Team,unikrn,2020-08-29 23:00:00,,,,,,,,,,,,,,,,,,,
2020-08-29,PCS,2020.0,summer,Machi Esports,J Team,unikrn,2020-08-29 23:00:00,,,,,,,,,,,,,,,,,,,
2020-08-29,PCS,2020.0,summer,Machi Esports,J Team,unikrn,2020-08-29 23:00:00,3.0,1.22,4.0,,,,,1.83,1.83,,,,,,,,,,
2020-08-29,VCS,2020.0,summer,Team Flash,GAM Esports,unikrn,2020-08-29 23:00:00,1.0,,,,,,,1.5,2.5,1.66,2.1,8.0,1.08,,,,,,
2020-08-29,VCS,2020.0,summer,Team Flash,GAM Esports,unikrn,2020-08-29 23:00:00,2.0,1.28,3.5,,,,,1.5,2.5,,,,,6.5,1.11,,,,
2020-08-29,VCS,2020.0,summer,Team Flash,GAM Esports,unikrn,2020-08-29 23:00:00,3.0,1.28,3.5,,,,,1.5,2.5,,,,,,,,,,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,2020-08-29 23:00:00,1.0,,,,,1.57,2.25,2.5,1.5,2.0,1.72,8.0,1.08,,,2.62,1.44,2.2,1.61
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,2020-08-29 23:00:00,2.0,1.28,3.5,,,1.57,2.25,2.5,1.5,,,,,6.5,1.11,2.62,1.44,2.2,1.61
2020-08-30,LEC,2020.0,summer,Fnatic,G2,unikrn,2020-08-29 23:00:00,3.0,1.28,3.5,,,1.57,2.25,2.5,1.5,,,,,,,2.62,1.44,2.2,1.61
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,unikrn,2020-08-29 23:00:00,1.0,,,,,,,1.66,2.1,,,,,,,,,,
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,unikrn,2020-08-29 23:00:00,2.0,,,,,,,1.66,2.1,,,,,,,,,,
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,unikrn,2020-08-29 23:00:00,3.0,,,,,,,1.66,2.1,,,,,,,,,,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,2020-08-29 23:00:00,1.0,,,,,1.53,2.37,2.62,1.44,2.25,1.57,8.0,1.08,,,2.5,1.5,2.2,1.61
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,2020-08-29 23:00:00,2.0,1.33,3.25,,,1.53,2.37,2.62,1.44,,,,,6.5,1.11,2.5,1.5,2.2,1.61
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,unikrn,2020-08-29 23:00:00,3.0,1.33,3.25,,,1.53,2.37,2.62,1.44,,,,,,,2.5,1.5,2.2,1.61
2020-08-30,LCK,2020.0,summer,GenG,DragonX,unikrn,2020-08-29 23:00:00,1.0,,,,,,,1.83,1.83,1.83,1.83,6.5,1.11,,,,,,
2020-08-30,LCK,2020.0,summer,GenG,DragonX,unikrn,2020-08-29 23:00:00,2.0,1.2,4.5,,,,,1.83,1.83,,,,,5.5,1.14,,,,
2020-08-30,LCK,2020.0,summer,GenG,DragonX,unikrn,2020-08-29 23:00:00,3.0,1.2,4.5,,,,,1.83,1.83,,,,,,,,,,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,unikrn,2020-08-29 23:00:00,1.0,,,,,,,2.1,1.66,1.83,1.83,7.0,1.1,,,,,,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,unikrn,2020-08-29 23:00:00,2.0,1.25,3.75,,,,,2.1,1.66,,,,,6.0,1.12,,,,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,unikrn,2020-08-29 23:00:00,3.0,1.25,3.75,,,,,2.1,1.66,,,,,,,,,,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,unikrn,2020-08-29 23:00:00,,,,,,,,,,,,,,,,,,,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,unikrn,2020-08-29 23:00:00,,,,,,,,,,,,,,,,,,,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,unikrn,2020-08-29 23:00:00,,,,,,,,,,,,,,,,,,,
2020-08-31,LEC,2020.0,summer,Rogue,MAD,unikrn,2020-08-29 23:00:00,1.0,,,,,,,2.1,1.66,,,,,,,,,,
2020-08-31,LEC,2020.0,summer,Rogue,MAD,unikrn,2020-08-29 23:00:00,2.0,,,,,,,2.1,1.66,,,,,,,,,,
2020-08-31,LEC,2020.0,summer,Rogue,MAD,unikrn,2020-08-29 23:00:00,3.0,,,,,,,2.1,1.66,,,,,,,,,,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,unikrn,2020-08-29 23:00:00,1.0,,,,,1.44,2.62,1.53,2.37,1.66,2.1,8.0,1.08,,,2.5,1.5,2.2,1.61
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,unikrn,2020-08-29 23:00:00,2.0,1.28,3.5,,,1.44,2.62,1.53,2.37,,,,,6.5,1.11,2.5,1.5,2.2,1.61
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,unikrn,2020-08-29 23:00:00,3.0,1.28,3.5,,,1.44,2.62,1.53,2.37,,,,,,,2.5,1.5,2.2,1.61
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,unikrn,2020-08-29 23:00:00,1.0,,,,,,,1.33,3.25,,,,,,,,,,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,unikrn,2020-08-29 23:00:00,2.0,,,,,,,1.33,3.25,,,,,,,,,,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,unikrn,2020-08-29 23:00:00,3.0,,,,,,,1.33,3.25,,,,,,,,,,
